filename,classname,alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,a0,a1,a2,a3,a4,a5,d1,d2,d3,d4,d5,d6,th1,th2,th3,th4,th5,th6,parallel_234
AUBO_i10.py,AUBO_i10,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,647.0,600.5,0.0,0.0,163.0,0.0,0.0,197.0,102.5,94.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUBO_i12.py,AUBO_i12,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,580.0,552.5,0.0,0.0,163.0,0.0,0.0,191.0,117.5,103.5,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUBO_i16.py,AUBO_i16,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,480.0,370.0,0.0,0.0,163.0,0.0,0.0,191.0,117.5,103.5,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUBO_i20.py,AUBO_i20,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,803.0,720.0,0.0,0.0,185.5,0.0,0.0,177.0,127.0,106.3,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUBO_i3.py,AUBO_i3,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,266.0,256.5,0.0,0.0,157.0,0.0,0.0,119.0,102.5,94.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,3.141592653589793,1
AUBO_i5.py,AUBO_i5,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,408.0,376.0,0.0,0.0,98.5,0.0,0.0,121.5,102.5,94.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUBO_i7.py,AUBO_i7,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,368.0,316.0,0.0,0.0,122.0,0.0,0.0,121.5,102.5,94.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUCTECH_X10_1300.py,AUCTECH_X10_1300,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,608.0,566.0,0.0,0.0,165.0,0.0,0.0,164.0,126.0,113.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUCTECH_X12_1300.py,AUCTECH_X12_1300,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,608.0,566.0,0.0,0.0,165.0,0.0,0.0,164.0,126.0,113.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
AUCTECH_X16_2000.py,AUCTECH_X16_2000,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,977.5,896.5,0.0,0.0,235.0,0.0,0.0,160.8,126.0,113.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
